Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
1.160000000000000586e+00,2.000000000000000000e+00,-2.572351817207935154e-01,4.659460473102168265e-01,1.167324654948364016e-01,3.088993430831435405e-01
1.170000000000000373e+00,2.000000000000000000e+00,-2.848707718232699193e-01,4.342977198346182899e-01,1.305966622605619076e-01,3.117435940385500093e-01
1.180000000000000604e+00,2.000000000000000000e+00,-3.140171978165339772e-01,4.005636795411836593e-01,1.470111449518988755e-01,3.145666182005930622e-01
1.190000000000000391e+00,2.000000000000000000e+00,-3.448428978786416410e-01,3.627343402393072846e-01,1.679323587895596159e-01,3.173686297203036077e-01
1.200000000000000622e+00,2.000000000000000000e+00,-3.775438321102413952e-01,3.142282243560109434e-01,1.998972229646109600e-01,3.201498401765731083e-01
1.210000000000000409e+00,2.000000000000000000e+00,-4.123490358392978838e-01,2.541535099556233579e-01,2.541535099556233579e-01,3.229104585938115668e-01
1.220000000000000639e+00,2.000000000000000000e+00,-4.495273854755807430e-01,2.574226802378553614e-01,2.574226802378553614e-01,3.256506914615652226e-01
1.230000000000000426e+00,2.000000000000000000e+00,-4.893957111391966652e-01,2.604593146126248371e-01,2.604593146126248371e-01,3.283707427559220404e-01
1.240000000000000657e+00,2.000000000000000000e+00,-5.323280417407392218e-01,2.632855197769350952e-01,2.632855197769350952e-01,3.310708139625372914e-01
1.250000000000000444e+00,2.000000000000000000e+00,-5.787656330805356353e-01,2.659203282441973126e-01,2.659203282441973126e-01,3.337511041011185786e-01
1.260000000000000675e+00,2.000000000000000000e+00,-6.292260479646538673e-01,2.683802772664000691e-01,2.683802772664000691e-01,3.364118097512167616e-01
1.270000000000000462e+00,2.000000000000000000e+00,-6.843075058387891874e-01,2.706798024060346752e-01,2.706798024060346752e-01,3.390531250791751217e-01
1.280000000000000693e+00,2.000000000000000000e+00,-7.446802974550560394e-01,2.728316215849673210e-01,2.728316215849673210e-01,3.416752418660981561e-01
1.290000000000000480e+00,2.000000000000000000e+00,-8.110490712477190778e-01,2.748469582288746715e-01,2.748469582288746715e-01,3.442783495367046087e-01
1.300000000000000711e+00,2.000000000000000000e+00,-8.840568452190719073e-01,2.767358185547645344e-01,2.767358185547645344e-01,3.468626351889372850e-01
1.310000000000000497e+00,2.000000000000000000e+00,-9.640914737283845515e-01,2.785071318115143191e-01,2.785071318115143191e-01,3.494282836242142976e-01
