Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
1.930000000000001048e+00,1.000000000000000000e+00,-4.349673091669735148e-01,6.462869699262894230e-01,8.017440104740058970e-02,4.391947679797565396e-01
1.940000000000001279e+00,1.000000000000000000e+00,-4.267824714521096241e-01,6.515993393543537682e-01,7.892750179770602337e-02,4.408042646812924126e-01
1.950000000000001066e+00,1.000000000000000000e+00,-4.186914484461633501e-01,6.568936872697187512e-01,7.770309845207737376e-02,4.424021180695276723e-01
1.960000000000001297e+00,1.000000000000000000e+00,-4.106917172903403190e-01,6.621705529749774000e-01,7.650048908170151152e-02,4.439884480202125339e-01
1.970000000000001084e+00,1.000000000000000000e+00,-4.027808975152768478e-01,6.674304045427075227e-01,7.531903344171331227e-02,4.455633729808498034e-01
1.980000000000001315e+00,1.000000000000000000e+00,-3.949566909165694306e-01,6.726737211199423916e-01,7.415809876624063213e-02,4.471270099865453096e-01
1.990000000000001101e+00,1.000000000000000000e+00,-3.872169194670549985e-01,6.779009454798424761e-01,7.301708459612898938e-02,4.486794746758083763e-01
2.000000000000001332e+00,1.000000000000000000e+00,-3.795594996181432812e-01,6.831124817569474983e-01,7.189542829918113553e-02,4.502208813062958948e-01
2.010000000000001119e+00,1.000000000000000000e+00,-3.719824371247872352e-01,6.883087231832665243e-01,7.079258104987515288e-02,4.517513427704935025e-01
2.020000000000001350e+00,1.000000000000000000e+00,-3.644838008302714871e-01,6.934900627973147325e-01,6.970801486554081827e-02,4.532709706113266512e-01
2.030000000000001137e+00,1.000000000000000000e+00,-3.570617699653654276e-01,6.986568377679004405e-01,6.864123353227255531e-02,4.547798750376988441e-01
2.040000000000001368e+00,1.000000000000000000e+00,-3.497145742596833307e-01,7.038093965664770080e-01,6.759175340167039581e-02,4.562781649399478834e-01
2.050000000000001155e+00,1.000000000000000000e+00,-3.424405252824390677e-01,7.089480580534056608e-01,6.655911285642948649e-02,4.577659479052167968e-01
2.060000000000001386e+00,1.000000000000000000e+00,-3.352380000241541591e-01,7.140731241601641077e-01,6.554287737377328948e-02,4.592433302327382227e-01
2.070000000000001172e+00,1.000000000000000000e+00,-3.281054300686095382e-01,7.191848873951601773e-01,6.454260641033640611e-02,4.607104169490193746e-01
2.080000000000001403e+00,1.000000000000000000e+00,-3.210413084485773116e-01,7.242836351172137199e-01,6.355790343565548284e-02,4.621673118229329136e-01
2.090000000000001190e+00,1.000000000000000000e+00,-3.140441916922581123e-01,7.293696237955548112e-01,6.258836944763604415e-02,4.636141173807042382e-01
2.100000000000001421e+00,1.000000000000000000e+00,-3.071126788999883339e-01,7.344431128645911855e-01,6.163362038886116556e-02,4.650509349207925247e-01
2.110000000000001208e+00,1.000000000000000000e+00,-3.002454275388296567e-01,7.395043346604036616e-01,6.069330104643247403e-02,4.664778645286628000e-01
2.120000000000001439e+00,1.000000000000000000e+00,-2.934411447980594390e-01,7.445535200273525334e-01,5.976705162183265641e-02,4.678950050914478798e-01
2.130000000000001226e+00,1.000000000000000000e+00,-2.866985633913892717e-01,7.495908950666414494e-01,5.885453753053623838e-02,4.693024543124918457e-01
2.140000000000001457e+00,1.000000000000000000e+00,-2.800164830248898507e-01,7.546166676150476427e-01,5.795542989827615066e-02,4.707003087257798923e-01
2.150000000000001243e+00,1.000000000000000000e+00,-2.733937297523578724e-01,7.596310430111110623e-01,5.706941165281359529e-02,4.720886637102452710e-01
2.160000000000001474e+00,1.000000000000000000e+00,-2.668291731125724264e-01,7.646342106676297101e-01,5.619618153421876428e-02,4.734676135039561640e-01
2.170000000000001261e+00,1.000000000000000000e+00,-2.603217133772369740e-01,7.696263553596793816e-01,5.533543974826368728e-02,4.748372512181771032e-01
2.180000000000001492e+00,1.000000000000000000e+00,-2.538702972255586499e-01,7.746076544581868006e-01,5.448690746200993140e-02,4.761976688513053224e-01
2.190000000000001279e+00,1.000000000000000000e+00,-2.474738982994650893e-01,7.795782825163384278e-01,5.365030226233161170e-02,4.775489573026799883e-01
2.200000000000001510e+00,1.000000000000000000e+00,-2.411315213269768776e-01,7.845384005978909281e-01,5.282536554918515481e-02,4.788912063862608703e-01
2.210000000000001297e+00,1.000000000000000000e+00,-2.348421993685766984e-01,7.894881629481944607e-01,5.201182550507282842e-02,4.802245048441788344e-01
