Iref,iL
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
6.199999999999999956e-01,5.294520251947615330e-01
6.199999999999999956e-01,5.294520251947613110e-01
6.199999999999999956e-01,5.294520251947617551e-01
