Iref,iL
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
